artist,plays
Armin van Buuren,2
Arturo Indigo,2
Triangler,2
Troye Sivan,2
Tyla,2
Kenny Loggins,2
Krabi,2
Anyma,2
The Buggles,2
The Plot In You,2
The Verve,2
Gorillaz,2
Goya Menor,2
Gravagerz,2
The Bangles,2
Sunlike Brothers,2
TNMN,2
From Ashes to New,2
Gabry Ponte,2
Gala Nell,2
George Ogilvie,2
LeStrange,2
Lewis Deville,2
Lil Wayne,2
Lionel Richie,2
Sleep Theory,2
Snow Patrol,2
Soap&Skin,2
Sonny Wern,2
Stereophonics,2
Stray Kids,2
Shawn Mendes,2
Beauty Brain,2
Benassi Bros.,2
Sienna,2
Rouss,2
Imagine Dragons,2
Imminence,2
Sam Fender,2
Samantha Ronson,2
Sebastian Schub,2
Sebastian Yatra,2
Selena Gomez,2
ELYELLA,2
Egzod,2
Rick Astley,2
Blondie,2
Bon Jovi,2
Griff,2
H! Dude,2
HAEVN,2
Hannah Laing,2
Don Omar,2
James Hype,2
Jesse Marchant,2
Joel Corry,2
MK,2
Phil Collins,2
Phosphorescent,2
Quevedo,2
ROSALÍA,2
Capital Cities,2
Nohr,2
OGUZ,2
Olly Alexander (Years & Years),2
POLTERGST,2
Hens,2
Madonna,2
Manel Navarro,2
Mark Ronson,2
MasterCore,2
Melody,2
Catch Your Breath,2
JADE,2
JENNIE,2
Hubbe,2
Ikkhi,2
Nick Jonas,2
Mr Mill Ummo,2
NATHY PELUSO,2
Nao,2
Chezile,2
Chris Lake,2
Christian Löffler,2
Metrika,2
Michael Jackson,2
Aden Lou,2
elMefti,2
YouNotUs,2
Yelle,2
Elley Duhé,2
William Luck,2
AURORA,2
Abraham Mateo,1
ADONXS,1
ARTLUS,1
Yazoo,1
Yas Cepeda,1
Wickerbird,1
Eva Shaw,1
Ethel Cain,1
2Lions,1
Katrina & The Waves,1
David Kushner,1
Delerium,1
Dire Straits,1
Dither,1
Jonah Kagen,1
Jung Kook,1
While She Sleeps,1
girl in red,1
Ursine Vulpine,1
Van Halen,1
Vesanic Rave,1
Von Bikräv,1
Vortek's,1
VÆB,1
Nia,1
Chase Atlantic,1
Cher,1
Cigarettes After Sex,1
Clairo,1
Claude,1
Men At Work,1
Michael Sembello,1
Mimi Webb,1
Miriam Rodríguez,1
Miriana Conte,1
MishMish,1
MORTEN,1
Mac Miller,1
Maddix,1
Aerosmith,1
Nirvana,1
No Doubt,1
Britney Spears,1
Bryan Adams,1
Morad,1
Mychael Danna,1
Myke Towers,1
Myles Lloyd,1
MØ,1
NAPA,1
NATAN,1
NICO B.,1
NOTSOBAD,1
Naarly,1
Natalia Lacunza,1
Nessa Barrett,1
Haute & Freddy,1
Hayley Williams,1
Maggie Lindemann,1
Make Them Suffer,1
Manuel Turizo,1
Maria Becerra,1
Marnik,1
Marshmello,1
Carpetman,1
JVKE,1
Holding Absence,1
Hyper Kenzo,1
IN PARALLEL,1
INXS,1
Nicki Nicole,1
Nik Sitz,1
Queen,1
RAOUL,1
ROYA,1
RSCL,1
Rain City Drive,1
C Marí,1
C. Tangana,1
CLANN,1
COIL,1
Cariño,1
Carmen Twillie,1
OCT,1
OMAKS,1
Ofenbach,1
PSYKADELIK,1
Panic! At The Disco,1
Jacob Shea,1
Jessie J,1
Jhay Rivas,1
Joe Hisaishi,1
Daron Malakian,1
David Gray,1
MAXADE EMMI,1
MAYO,1
MJ-Project,1
London Symphony Orchestra,1
Loreen,1
Los Rebujitos,1
Phantom X,1
Piso 21,1
Polaris,1
Portair,1
Rema,1
Restricted,1
Rick Springfield,1
Rizhko,1
Biffy Clyro,1
Billy Ocean,1
Bishop Briggs,1
Bizarrap,1
Blaze U,1
Bloodlust,1
Bloodywood,1
Gwen Stefani,1
Hades,1
Paris Paloma,1
Paul Kalkbrenner,1
Phantogram,1
Ruelle,1
Run–D.M.C.,1
RÜFÜS DU SOL,1
STVW,1
Samuel Kim,1
Seafret,1
Sebastian Böhm,1
Don Toliver,1
Duran Duran,1
Dutch Melrose,1
EMMY,1
ERA,1
Ekaterina Shelehova,1
Braaheim,1
Ramsey,1
Red Hot Chili Peppers,1
Robert Miles,1
Los Sufridos,1
Louane,1
Luke Muzzic,1
Luno,1
Lynnic,1
Cosmic Gate,1
Culture Wars,1
DA TI,1
Da Tweekaz,1
Inna Truu,1
Irene Cara,1
LS41,1
LSR/CITY,1
La La Love You,1
Roxette,1
Soft Cell,1
Starship,1
Still Corners,1
Senses Fail,1
Sepultura,1
Sevdaliza,1
Shakira,1
Bananarama,1
Bea and her Business,1
Beach House,1
Ben Moody,1
Berlin,1
Berq,1
Sidewalks and Skeletons,1
Silvius,1
Robbe,1
Lamb of God,1
Laura Thorn,1
Lavern,1
Laybe,1
Leiva,1
Lewis Hanton,1
Lights,1
Limp Bizkit,1
Lockdown,1
Justin Bieber,1
KAJ,1
KSI,1
Slaughter to Prevail,1
Slayer,1
Sleep Token,1
Smash Mouth,1
BEAUZ,1
BENGRO,1
BETASTIC,1
Stromae,1
Sufjan Stevens,1
Suki Waterhouse,1
Swedish House Mafia,1
TNT,1
Tektony,1
Funzo & Baby Loud,1
Gentlemann-,1
George Michael,1
Gigi D'Agostino,1
Simple Minds,1
Sinéad O'Connor,1
Sissal,1
The Marías,1
The Pointer Sisters,1
The Rasmus,1
The Slims,1
The Smiths,1
The Strokes,1
The Veronicas,1
Glass Animals,1
Go-Jo,1
Gonzi,1
Grace Davies,1
Gregory Alan Isakov,1
The Bloody Beetroots,1
Axel Flóvent,1
Ayesha Erotica,1
Azealia Banks,1
Fer Ariza,1
Fine Young Cannibals,1
Fleurie,1
Fred again..,1
French 79,1
Fresquito,1
The Weather Girls,1
Thomas Rhett,1
Three Days Grace,1
Argy,1
BLOW,1
BUNT.,1
Bad Bunny,1
The Cheetah Girls,1
The Haunt,1
The Human League,1
KTD.CORE,1
KX CHR,1
Kali Uchis,1
Kami Kehoe,1
Kansas,1
Karmina,1
KiNG MALA,1
Kilian K,1
Kyle Alessandro,1
LANNÉ,1
LP,1
adore,1
albwhisp,1
beabadoobee,1
Farrago,1
Farruko,1
W Sound,1
Wallows,1
We Came As Romans,1
Ari Abdul,1
Astrality,1
Attack Attack!,1
Auryn,1
Tina Turner,1
Tommy Cash,1
Too Close To Touch,1
Trevor Jones,1
Txmy,1
U2,1
FM-84,1
FUTURAMI,1
Fall Out Boy,1
Erika Vikman,1
Adam Lambert,1
יובל רפאל,1
Alfons,1
Alleh,1
Ally Nicholas,1
nate band,1
96ONE,1
trashi,1
00Andreww,1
vidi roca,1
westentrance,1
Abor & Tynna,1
UB40,1
Ugo Busoni,1
Underoath,1
blckr thn blck,1
flora cash,1
Antía Muíño,1
Yung Nick,1
ZEYPHIA,1
Zedd,1
Zerb,1
Ziferblat,1
Zoë Më,1
Akon,1
Alessi Rose,1
isaac gracie,1
2Pac,1
Ellister,1
Elton John,1
Enya,1
